click_id,search_event_id,user_id,result_position,result_url,result_type,timestamp
clk_001,evt_001,usr_101,1,/features/ai-search,feature_page,2026-02-15 10:24:02
clk_002,evt_001,usr_101,3,/docs/ai-search-guide,documentation,2026-02-15 10:24:45
clk_003,evt_002,usr_102,1,/docs/api-integration,documentation,2026-02-15 10:25:38
clk_004,evt_003,,2,/pricing,pricing_page,2026-02-15 10:26:55
clk_005,evt_004,usr_103,1,/docs/semantic-search,documentation,2026-02-15 10:28:22
clk_006,evt_004,usr_103,2,/features/semantic-search,feature_page,2026-02-15 10:29:01
clk_007,evt_005,usr_101,1,/docs/ai-search,documentation,2026-02-15 10:30:45
clk_008,evt_006,usr_104,1,/enterprise,feature_page,2026-02-15 10:33:08
clk_009,evt_007,,1,/signup/trial,signup_page,2026-02-15 10:35:32
clk_010,evt_008,usr_105,1,/docs/analytics-dashboard,documentation,2026-02-15 10:38:52
clk_011,evt_008,usr_105,4,/features/analytics,feature_page,2026-02-15 10:39:28
clk_012,evt_009,usr_102,2,/docs/authentication,documentation,2026-02-15 10:41:18
clk_013,evt_010,usr_106,1,/features/instant-answers,feature_page,2026-02-15 10:43:41
clk_014,evt_011,,1,/pricing/compare,pricing_page,2026-02-15 10:46:05
clk_015,evt_012,usr_107,1,/docs/autocomplete,documentation,2026-02-15 10:48:28
clk_016,evt_014,usr_101,1,/features/ai-search,feature_page,2026-02-15 10:53:22
clk_017,evt_014,usr_101,2,/case-studies/ai-search,case_study,2026-02-15 10:54:01
clk_018,evt_015,usr_109,1,/legal/gdpr,legal_page,2026-02-15 10:55:44
clk_019,evt_016,,1,/demo,demo_page,2026-02-15 10:58:11
clk_020,evt_017,usr_110,1,/docs/performance,documentation,2026-02-15 11:00:37
clk_021,evt_018,usr_111,1,/features/nlp,feature_page,2026-02-15 11:03:04
clk_022,evt_018,usr_111,3,/docs/nlp-guide,documentation,2026-02-15 11:03:42
clk_023,evt_019,usr_112,2,/docs/indexing,documentation,2026-02-15 11:05:31
clk_024,evt_020,usr_113,1,/docs/conversion-tracking,documentation,2026-02-15 11:07:58
clk_025,evt_021,,1,/contact,contact_page,2026-02-15 11:10:25
clk_026,evt_022,usr_114,1,/docs/faceted-search,documentation,2026-02-15 11:12:52
clk_027,evt_023,usr_115,1,/docs/synonyms,documentation,2026-02-15 11:15:19
clk_028,evt_025,usr_117,1,/docs/ab-testing,documentation,2026-02-15 11:20:13
clk_029,evt_026,usr_118,1,/features/query-understanding,feature_page,2026-02-15 11:22:40
clk_030,evt_027,,2,/pricing/startup,pricing_page,2026-02-15 11:25:07
clk_031,evt_028,usr_119,1,/features/personalization,feature_page,2026-02-15 11:27:34
clk_032,evt_029,usr_120,1,/docs/webhooks,documentation,2026-02-15 11:30:01
clk_033,evt_030,usr_121,1,/docs/ranking,documentation,2026-02-15 11:32:28
clk_034,evt_030,usr_121,2,/blog/ranking-explained,blog_post,2026-02-15 11:33:05
